2025.08.09 18:49:49,863	INFO	69	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2025.08.09 18:49:49,863	INFO	69	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2025.08.09 18:49:49,863	INFO	69	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2025.08.09 18:49:49,863	INFO	69	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2025.08.09 18:49:49,863	INFO	69	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2025.08.09 18:49:49,864	INFO	69	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2025.08.09 18:49:49,864	INFO	69	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/0.0.0.0/0
2025.08.09 18:52:49,119	INFO	69	org.l2jmobius.loginserver.GameServerThread	GameServer [1] Bartz: Connection lost: Connection reset
2025.08.09 18:52:49,120	INFO	69	org.l2jmobius.loginserver.GameServerThread	Server [1] Bartz is now set as disconnected.
2025.08.09 18:59:06,989	INFO	74	org.l2jmobius.loginserver.GameServerThread	Updated Gameserver [1] Bartz IP's:
2025.08.09 18:59:06,989	INFO	74	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/127.0.0.0/8
2025.08.09 18:59:06,990	INFO	74	org.l2jmobius.loginserver.GameServerThread	10.0.0.0/10.0.0.0/8
2025.08.09 18:59:06,990	INFO	74	org.l2jmobius.loginserver.GameServerThread	172.16.0.0/172.16.0.0/19
2025.08.09 18:59:06,990	INFO	74	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/16
2025.08.09 18:59:06,990	INFO	74	org.l2jmobius.loginserver.GameServerThread	192.168.0.0/192.168.0.0/24
2025.08.09 18:59:06,990	INFO	74	org.l2jmobius.loginserver.GameServerThread	192.168.1.0/192.168.1.0/24
2025.08.09 18:59:06,990	INFO	74	org.l2jmobius.loginserver.GameServerThread	127.0.0.1/0.0.0.0/0
